camera_scene,lidar_scene,metric,model_id,off_executions,off_maximum,off_mean,off_minimum,off_range,off_std,on_executions,on_maximum,on_mean,on_minimum,on_minus_off_mean,on_range,on_std,pair
scene-0184,scene-0245,unique_source_count,centerpoint,3,81.0,80.33333333333333,80.0,1.0,0.5773502691896257,3,103.0,102.66666666666667,102.0,22.333333333333343,1.0,0.5773502691896257,centerpoint+dino
scene-0184,scene-0184,R,dino,3,0.8190731621271518,0.8111954932034745,0.7981447442916902,0.02092841783546151,0.011382892237758804,3,0.5423168781738408,0.5136483579767418,0.4899587591656568,-0.2975471352267327,0.05235811900818399,0.026531780945591832,centerpoint+dino
scene-0184,scene-0184,P50_ms,dino,3,93.639976,92.953007,92.607864,1.032111999999998,0.5949349173170163,3,85.14192499999999,84.72812833333332,84.239617,-8.224878666666683,0.9023079999999908,0.4557703838308601,centerpoint+dino
scene-0184,scene-0184,P99_ms,dino,3,168.46651386999997,168.35158612333333,168.2100138,0.25650006999995867,0.13030933035207418,3,129.92418311,128.24264728666665,126.35273873,-40.10893883666668,3.5714443800000026,1.7948170204385743,centerpoint+dino
scene-0184,scene-0184,throughput_hz,dino,3,8.334333338007985,8.280937605467571,8.22661793011246,0.10771540789552603,0.053863647548866495,3,10.331600847247783,10.245771691940526,10.199672881871148,1.9648340864729548,0.13192796537663476,0.07439840227885008,centerpoint+dino
scene-0184,scene-0184,unique_source_count,dino,3,162.0,160.33333333333334,159.0,3.0,1.5275252316519465,3,200.0,198.66666666666666,198.0,38.333333333333314,2.0,1.1547005383792515,centerpoint+dino
scene-0184,scene-0184,R,centerpoint,3,0.08027721907918967,0.0693174542727806,0.060095849766177635,0.02018136931301203,0.010202343738470706,3,0.1743559222684547,0.1565057423268966,0.12969662887678696,0.08718828805411599,0.04465929339166774,0.02363916218415429,centerpoint+dino
scene-0184,scene-0184,P50_ms,centerpoint,3,310.00795500000004,306.36318566666665,304.393407,5.614548000000013,3.159902310379454,3,229.0099475,224.88489233333334,221.642114,-81.47829333333331,7.3678335000000175,3.762320019470454,centerpoint+dino
scene-0184,scene-0184,P99_ms,centerpoint,3,328.82926322,327.5820726033333,325.2788081,3.550455119999981,1.9969731921981237,3,261.06713566,260.0218768433333,258.71176567,-67.56019576,2.3553699900000424,1.1998133294692586,centerpoint+dino
scene-0184,scene-0184,throughput_hz,centerpoint,3,3.2351189366060815,3.2166776654813742,3.182969928705857,0.052149007900224476,0.029234884749985788,3,4.208765832588111,4.138764723750125,4.097219411163375,0.9220870582687506,0.1115464214247357,0.06097499723973018,centerpoint+dino
scene-0184,scene-0184,unique_source_count,centerpoint,3,63.0,62.666666666666664,62.0,1.0,0.5773502691896258,3,82.0,80.66666666666667,80.0,18.000000000000007,2.0,1.1547005383792517,centerpoint+dino
scene-0245,scene-0184,R,dino,3,0.8349656957948349,0.8046413034046663,0.7714670628268788,0.0634986329679561,0.031845098888512745,3,0.5298392134855574,0.5155889770992937,0.5002797657274658,-0.2890523263053726,0.029559447758091606,0.014808150085539883,centerpoint+dino
scene-0245,scene-0184,P50_ms,dino,3,94.721274,92.91464233333333,90.74033299999999,3.9809410000000014,2.015778500057568,3,84.854691,84.55076783333334,84.151051,-8.363874499999994,0.7036400000000071,0.3614687155620613,centerpoint+dino
scene-0245,scene-0184,P99_ms,dino,3,168.60696800000002,167.63599444000002,166.50539828,2.1015697200000147,1.0598388334215265,3,129.81403374,128.14772899000002,126.25011908000002,-39.48826545,3.5639146599999947,1.7931811073404393,centerpoint+dino
scene-0245,scene-0184,throughput_hz,dino,3,8.464932791155578,8.298721857817775,8.160430078807709,0.30450271234786896,0.1541592839908909,3,10.274090722426756,10.186310501812736,10.081730644822064,1.8875886439949614,0.19236007760469143,0.09727420367605938,centerpoint+dino
scene-0245,scene-0184,unique_source_count,dino,3,164.0,161.33333333333334,159.0,5.0,2.5166114784235836,3,199.0,197.33333333333334,195.0,36.0,4.0,2.081665999466133,centerpoint+dino
scene-0245,scene-0184,R,centerpoint,3,0.10751681262818277,0.07127880585868643,0.04241086310569355,0.06510594952248921,0.033172798321994906,3,0.17944696363279575,0.1645042340121051,0.14954789953735004,0.09322542815341867,0.02989906409544571,0.01494953669064474,centerpoint+dino
