model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
pointpillars+dino,dino,image,7.5 mm/h,r7p5,7.5,26.426,67.202,93.628,97.987,67.202,89.849,389,90.699,89.783,91.490
pointpillars+dino,pointpillars,lidar,15 mm/h,r15,15.0,69.336,28.615,97.951,101.998,28.615,94.059,395,95.551,94.732,96.230
pointpillars+dino,dino,image,15 mm/h,r15,15.0,21.913,71.925,93.837,98.646,71.925,89.706,389,90.607,89.728,91.306
pointpillars+dino,pointpillars,lidar,25 mm/h,r25,25.0,29.885,69.282,99.167,102.211,69.282,96.334,384,96.441,95.890,97.164
pointpillars+dino,dino,image,25 mm/h,r25,25.0,27.984,67.285,95.269,97.835,67.285,90.719,388,91.520,90.745,92.127
pointpillars+dino,pointpillars,lidar,50 mm/h,r50,50.0,67.620,31.316,98.936,101.086,31.316,96.166,386,96.562,96.004,97.086
pointpillars+dino,dino,image,50 mm/h,r50,50.0,27.441,67.768,95.209,111.145,67.768,91.381,386,91.659,91.051,92.241
pointpillars+faster-rcnn,pointpillars,lidar,Clear,clear,0.0,68.559,28.617,97.177,99.528,28.617,52.371,681,62.686,30.155,64.514
pointpillars+faster-rcnn,faster-rcnn,image,Clear,clear,0.0,20.495,37.268,57.763,60.329,37.268,48.186,457,46.449,41.892,55.068
pointpillars+faster-rcnn,pointpillars,lidar,7.5 mm/h,r7p5,7.5,65.570,27.862,93.431,98.556,27.862,51.702,684,62.919,29.748,64.049
pointpillars+faster-rcnn,faster-rcnn,image,7.5 mm/h,r7p5,7.5,21.163,35.259,56.422,58.301,35.259,47.665,457,48.799,41.073,53.895
pointpillars+faster-rcnn,pointpillars,lidar,15 mm/h,r15,15.0,65.963,27.418,93.381,97.651,27.418,51.512,687,62.367,29.845,63.939
pointpillars+faster-rcnn,faster-rcnn,image,15 mm/h,r15,15.0,21.442,34.933,56.375,57.717,34.933,47.221,457,48.524,40.757,53.188
pointpillars+faster-rcnn,pointpillars,lidar,25 mm/h,r25,25.0,65.519,27.988,93.507,96.495,27.988,52.177,681,62.932,29.917,64.481
pointpillars+faster-rcnn,faster-rcnn,image,25 mm/h,r25,25.0,21.420,35.871,57.291,58.995,35.871,48.214,457,49.680,41.278,54.416
pointpillars+faster-rcnn,pointpillars,lidar,50 mm/h,r50,50.0,65.819,28.052,93.872,102.752,28.052,52.097,681,62.590,30.192,64.391
pointpillars+faster-rcnn,faster-rcnn,image,50 mm/h,r50,50.0,21.706,35.634,57.340,58.738,35.634,48.158,457,49.371,41.298,54.417
pointpillars+mask-rcnn,pointpillars,lidar,Clear,clear,0.0,76.457,28.384,104.841,107.540,28.384,74.580,489,79.237,72.880,84.477
pointpillars+mask-rcnn,mask-rcnn,image,Clear,clear,0.0,29.393,49.883,79.276,144.712,49.883,68.541,456,69.941,63.969,72.935
pointpillars+mask-rcnn,pointpillars,lidar,7.5 mm/h,r7p5,7.5,75.647,28.310,103.957,128.912,28.310,73.173,500,77.645,73.523,81.498
